id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EPRS	4	0.0004352	0.001586	0.73965	28	4	-1.5799	0.99956	0.99957	0.999734	18892	0	-1.5799
RASEF	4	0.0004352	0.001586	0.73965	29	4	-1.7871	0.99956	0.99957	0.999734	18893	0	-1.7871
NPM1	4	0.0004352	0.001586	0.73965	30	4	-1.5799	0.99956	0.99957	0.999734	18889	0	-1.5799
KIN	3	0.00043887	0.0013089	0.73965	31	2	-1.9943	0.81053	0.81045	0.97199	14793	0	-1.9943
POLR2B	3	0.00043887	0.0013089	0.73965	32	1	-0.99622	0.95918	0.95945	0.987989	18277	0	-0.99622
VMN2R100	3	0.00044098	0.0013136	0.73965	33	3	-1.3121	0.99956	0.99955	0.999734	18887	0	-1.3121
WDR89	5	0.00047191	0.0021439	0.73965	34	3	-1.5799	0.99516	0.99512	0.998386	18775	0	-1.5799
GMEB2	4	0.0005347	0.001948	0.73965	35	3	-1.1203	0.73504	0.73465	0.97199	13506	0	-1.1203
CLIC1	4	0.0005347	0.001948	0.73965	36	3	-1.1541	0.98595	0.98593	0.995681	18687	0	-1.1541
H2-OA	4	0.0005347	0.001948	0.73965	37	3	-1.4953	0.98595	0.98593	0.995681	18584	0	-1.4953
TKTL1	4	0.0005347	0.001948	0.73965	38	3	-1.1513	0.89118	0.89114	0.97199	16338	0	-1.1513
SLC8A3	4	0.0005347	0.001948	0.73965	39	3	-0.99051	0.89118	0.89114	0.97199	17233	0	-0.99051
SLC16A13	4	0.0005347	0.001948	0.73965	40	3	-0.99051	0.89118	0.89114	0.97199	16434	0	-0.99051
CYSLTR1	4	0.0005347	0.001948	0.73965	41	3	-1.9943	0.34261	0.34226	0.966282	6125	1	-1.9943
DMRT3	2	0.00053641	0.0010511	0.73965	42	1	-1.6538	0.88145	0.88139	0.97199	15830	0	-1.6538
MRPL3	5	0.00073135	0.0030806	0.73965	43	2	-0.99051	0.29715	0.30793	0.964979	5318	1	-0.99051
WISP3	4	0.00078011	0.0028254	0.73965	44	2	-1.2881	0.89118	0.89114	0.97199	16828	0	-1.2881
OLFR1230	3	0.00080451	0.0023225	0.73965	45	1	-0.99622	0.81053	0.81045	0.97199	14191	0	-0.99622
NOS2	2	0.00080615	0.0015561	0.73965	46	2	-1.8947	0.99919	0.99919	0.999734	18885	0	-1.8947
ZFP189	4	0.0010725	0.0038784	0.73965	47	1	-0.49431	0.24579	0.25221	0.964979	4656	1	-0.49431
KDM4A	4	0.0010725	0.0038784	0.73965	48	1	0.0075964	0.51232	0.51198	0.966282	9123	0	0.0075964
UFD1L	4	0.0010725	0.0038784	0.73965	49	1	-0.99622	0.10129	0.13261	0.897576	2448	1	-0.99622
SPC25	4	0.0010725	0.0038784	0.73965	50	1	-0.49431	0.042925	0.075894	0.883486	1347	1	-0.49431
IFI204	3	0.0010825	0.003111	0.73965	51	2	-1.3121	0.95918	0.95945	0.987989	18349	0	-1.3121
SAMM50	3	0.0010825	0.003111	0.73965	52	2	-2.3159	0.58393	0.58407	0.970422	10345	0	-2.3159
1700094D03RIK	3	0.0010825	0.003111	0.73965	53	3	-1.5799	0.99699	0.99702	0.998386	18852	0	-1.5799
VMN1R64	3	0.0010825	0.003111	0.73965	54	2	-1.3121	0.81053	0.81045	0.97199	14112	0	-1.3121
LARP1B	3	0.0010825	0.003111	0.73965	55	3	-1.5731	0.9905	0.99063	0.998386	18746	0	-1.5731
DDX11	3	0.0010825	0.003111	0.73965	56	2	-1.3121	0.41642	0.41665	0.966282	7498	0	-1.3121
2610507B11RIK	3	0.0010825	0.003111	0.73965	57	2	-1.7971	0.95918	0.95945	0.987989	17909	0	-1.7971
CUL4A	3	0.0010825	0.003111	0.73965	58	3	-1.4033	0.99699	0.99702	0.998386	18839	0	-1.4033
MDM2	2	0.0011214	0.0021759	0.73965	59	1	-1.5778	0.88145	0.88139	0.97199	15667	0	-1.5778
GM9758	2	0.0011214	0.0021759	0.73965	60	1	-0.57494	0.13155	0.13279	0.897576	2746	1	-0.57494
GM14496	5	0.001285	0.0050105	0.73965	61	3	-1.3121	0.80991	0.81026	0.97199	13885	0	-1.3121
KHNYN	5	0.001285	0.0050105	0.73965	62	3	-0.99051	0.73302	0.73316	0.97199	13338	0	-0.99051
OLFR1042	5	0.001285	0.0050105	0.73965	63	3	-1.3121	0.9375	0.93774	0.987989	17593	0	-1.3121
OLFR853	5	0.001285	0.0050105	0.73965	64	3	-0.99051	0.75251	0.75278	0.97199	13658	0	-0.99051
TGFBR1	5	0.001285	0.0050105	0.73965	65	3	-0.99051	0.59247	0.59282	0.970422	10514	0	-0.99051
KRT40	5	0.001285	0.0050105	0.73965	66	4	-0.99051	0.9994	0.99937	0.999734	18886	0	-0.99051
RGN	5	0.0013405	0.0052074	0.73965	67	2	-0.99622	0.59247	0.59282	0.970422	10946	0	-0.99622
LMO7	4	0.0016632	0.0059299	0.73965	68	3	-1.0454	0.89118	0.89114	0.97199	17163	0	-1.0454
4930590J08RIK	3	0.0016817	0.004781	0.73965	69	1	0.0075964	0.81053	0.81045	0.97199	15332	0	0.0075964
OLFR970	3	0.0016817	0.004781	0.73965	70	1	-0.99622	0.07697	0.093936	0.883486	1946	1	-0.99622
LSM3	3	0.0016817	0.004781	0.73965	71	1	-0.99622	0.54722	0.5474	0.970422	10171	0	-0.99622
EIF1AD	3	0.0016817	0.004781	0.73965	72	2	-0.99622	0.95918	0.95945	0.987989	17993	0	-0.99622
ZFP592	3	0.0016817	0.004781	0.73965	73	2	-0.99051	0.81053	0.81045	0.97199	15213	0	-0.99051
ARHGEF4	3	0.0016817	0.004781	0.73965	74	2	-1.9943	0.95918	0.95945	0.987989	17969	0	-1.9943
MBD5	5	0.0019246	0.0071798	0.73965	75	4	-0.5761	0.9375	0.93774	0.987989	17708	0	-0.5761
ZFP747	5	0.0019246	0.0071798	0.73965	76	4	-0.5761	0.59247	0.59282	0.970422	10666	0	-0.5761
SFXN2	5	0.0019246	0.0071798	0.73965	77	4	-1.3121	0.99516	0.99512	0.998386	18770	0	-1.3121
LRP2BP	5	0.0019246	0.0071798	0.73965	78	4	-1.5799	0.99516	0.99512	0.998386	18779	0	-1.5799
VMN1R71	5	0.0019246	0.0071798	0.73965	79	4	-0.5761	0.00069073	0.0024137	0.7395	38	1	-0.5761
PITRM1	5	0.0019246	0.0071798	0.73965	80	4	-1.5799	0.9375	0.93774	0.987989	17487	0	-1.5799
CNBP	5	0.0019246	0.0071798	0.73965	81	4	-0.5761	0.59247	0.59282	0.970422	10684	0	-0.5761
ZFP948	5	0.0019246	0.0071798	0.73965	82	4	-0.99051	0.78121	0.78154	0.97199	13765	0	-0.99051
TLR4	5	0.0019246	0.0071798	0.73965	83	4	-1.5799	0.9375	0.93774	0.987989	17385	0	-1.5799
APOB	5	0.0019246	0.0071798	0.73965	84	4	-1.3121	0.19817	0.22786	0.964979	4007	1	-1.3121
C330006K01RIK	5	0.0019246	0.0071798	0.73965	85	4	-0.99051	0.59247	0.59282	0.970422	10711	0	-0.99051
FUT9	5	0.0019246	0.0071798	0.73965	86	4	-0.5761	0.59247	0.59282	0.970422	10854	0	-0.5761
ITIH1	5	0.0019246	0.0071798	0.73965	87	4	-0.98861	0.9375	0.93774	0.987989	17511	0	-0.98861
ADAM25	4	0.0020122	0.0071656	0.73965	88	4	-0.85722	0.99799	0.99799	0.998884	18883	0	-0.85722
TMEM67	4	0.0021375	0.0076251	0.73965	89	3	-1.5134	0.89118	0.89114	0.97199	16757	0	-1.5134
AW146154	4	0.0021375	0.0076251	0.73965	90	2	-0.64952	0.65232	0.6522	0.970422	11584	0	-0.64952
ZFP207	4	0.0021375	0.0076251	0.73965	91	2	-1.1541	0.89118	0.89114	0.97199	16858	0	-1.1541
GRLF1	4	0.0021375	0.0076251	0.73965	92	3	-1.4434	0.89118	0.89114	0.97199	17038	0	-1.4434
AK7	4	0.0021375	0.0076251	0.73965	93	2	-1.1541	0.51232	0.51198	0.966282	9870	0	-1.1541
OLFR820	4	0.0021375	0.0076251	0.73965	94	2	-0.65223	0.65232	0.6522	0.970422	11570	0	-0.65223
SAAL1	4	0.0021375	0.0076251	0.73965	95	2	-0.65223	0.34261	0.34226	0.966282	6189	1	-0.65223
MAN1B1	4	0.0021375	0.0076251	0.73965	96	2	-1.1541	0.65232	0.6522	0.970422	11556	0	-1.1541
WDR33	4	0.0021375	0.0076251	0.73965	97	2	-1.1541	0.68763	0.68746	0.97199	13152	0	-1.1541
POLR3A	4	0.0021375	0.0076251	0.73965	98	3	-1.6525	0.51232	0.51198	0.966282	8649	0	-1.6525
AURKB	4	0.0021375	0.0076251	0.73965	99	3	-1.9479	0.73504	0.73465	0.97199	13576	0	-1.9479
VMN1R198	4	0.0021375	0.0076251	0.73965	100	2	-0.81111	0.51232	0.51198	0.966282	8659	0	-0.81111
HMGCS2	4	0.0021375	0.0076251	0.73965	101	2	-1.1541	0.89118	0.89114	0.97199	16393	0	-1.1541
AADAC	4	0.0021375	0.0076251	0.73965	102	2	-0.65223	0.73504	0.73465	0.97199	13535	0	-0.65223
EFTUD1	4	0.0021375	0.0076251	0.73965	103	2	-0.65223	0.65232	0.6522	0.970422	11605	0	-0.65223
1500001M20RIK	4	0.0021375	0.0076251	0.73965	104	2	-1.656	0.9608	0.96083	0.989139	18359	0	-1.656
EAR6	4	0.0021375	0.0076251	0.73965	105	2	-0.78109	0.017442	0.03401	0.883486	605	1	-0.78109
AADACL3	4	0.0021375	0.0076251	0.73965	106	2	-1.1541	0.67951	0.67939	0.97199	13105	0	-1.1541
DNAHC7B	4	0.0021375	0.0076251	0.73965	107	2	-0.86102	0.32873	0.32877	0.966282	6100	1	-0.86102
MAPKAPK5	4	0.0021375	0.0076251	0.73965	108	3	-0.94408	0.10129	0.13261	0.897576	2170	1	-0.94408
OLFR417	4	0.0021375	0.0076251	0.73965	109	2	-0.65223	0.89118	0.89114	0.97199	16303	0	-0.65223
PRPF31	4	0.0021375	0.0076251	0.73965	110	2	-1.1541	0.89118	0.89114	0.97199	16208	0	-1.1541
OLFR476	4	0.0021375	0.0076251	0.73965	111	2	-0.35911	0.51232	0.51198	0.966282	9216	0	-0.35911
MCM6	4	0.0021375	0.0076251	0.73965	112	3	-1.9479	0.89118	0.89114	0.97199	16449	0	-1.9479
OLFR1140	4	0.0021375	0.0076251	0.73965	113	2	-1.1541	0.51232	0.51198	0.966282	9168	0	-1.1541
OLFR378	4	0.0021375	0.0076251	0.73965	114	3	-1.3121	0.67277	0.67266	0.970703	13067	0	-1.3121
CYP2A5	4	0.0022416	0.0080106	0.73965	115	1	-0.49431	0.10129	0.13261	0.897576	2406	1	-0.49431
CSRNP2	4	0.0022416	0.0080106	0.73965	116	2	-1.2881	0.34261	0.34226	0.966282	6215	1	-1.2881
TAS2R113	4	0.0022416	0.0080106	0.73965	117	1	-0.49431	0.51232	0.51198	0.966282	8863	0	-0.49431
WASF3	4	0.0022416	0.0080106	0.73965	118	2	-1.2881	0.89118	0.89114	0.97199	16284	0	-1.2881
RASL2-9	4	0.0022416	0.0080106	0.73965	119	3	-1.2881	0.98595	0.98593	0.995681	18561	0	-1.2881
LPAR1	4	0.0022416	0.0080106	0.73965	120	2	-0.28425	0.51232	0.51198	0.966282	9312	0	-0.28425
ZFP677	4	0.0022416	0.0080106	0.73965	121	1	-0.12152	0.24579	0.25221	0.964979	4381	1	-0.12152
CSNK1D	4	0.0022416	0.0080106	0.73965	122	2	-0.48956	0.68216	0.68203	0.97199	13133	0	-0.48956
CSNK1A1	4	0.0022416	0.0080106	0.73965	123	2	-1.2881	0.51232	0.51198	0.966282	9860	0	-1.2881
TMPRSS6	4	0.0022416	0.0080106	0.73965	124	2	0.0088625	0.51232	0.51198	0.966282	9626	0	0.0088625
RABGGTB	4	0.0022416	0.0080106	0.73965	125	2	-0.33126	0.0040194	0.01088	0.7395	187	2	-0.33126
IARS	4	0.0022416	0.0080106	0.73965	126	2	-1.4953	0.98595	0.98593	0.995681	18533	0	-1.4953
PAX6	4	0.0022416	0.0080106	0.73965	127	1	-0.70025	0.10129	0.13261	0.897576	2174	1	-0.70025
TAX1BP1	4	0.0022416	0.0080106	0.73965	128	1	0.094775	0.10129	0.13261	0.897576	2183	1	0.094775
2610002I17RIK	4	0.0022416	0.0080106	0.73965	129	2	-0.28299	0.51232	0.51198	0.966282	8814	0	-0.28299
ABCA12	4	0.0022443	0.0080206	0.73965	130	4	-1.2852	0.99776	0.99776	0.998708	18881	0	-1.2852
NSUN7	4	0.0022443	0.0080206	0.73965	131	4	-0.5761	0.99776	0.99776	0.998708	18882	0	-0.5761
NAA40	3	0.0022505	0.0063317	0.73965	132	2	-1.25	0.81053	0.81045	0.97199	14011	0	-1.25
SKA3	2	0.002567	0.0050335	0.73965	133	2	-2.2866	0.97914	0.97922	0.995681	18468	0	-2.2866
DDB1	2	0.002567	0.0050335	0.73965	134	1	-1.4929	0.88145	0.88139	0.97199	15748	0	-1.4929
PSMD11	2	0.002567	0.0050335	0.73965	135	1	-1.9948	0.88145	0.88139	0.97199	16033	0	-1.9948
PSMB3	2	0.002567	0.0050335	0.73965	136	2	-2.4938	0.99732	0.99727	0.998386	18874	0	-2.4938
WWP2	2	0.002567	0.0050335	0.73965	137	1	-1.6988	0.9484	0.94838	0.987989	17840	0	-1.6988
TLR5	3	0.0025826	0.0072337	0.73965	138	1	0.010129	0.03237	0.057044	0.883486	1070	1	0.010129
PRODH	2	0.0026844	0.0052698	0.73965	139	2	-1.4924	0.99732	0.99727	0.998386	18868	0	-1.4924
LRRC33	2	0.0026844	0.0052698	0.73965	140	2	-0.99051	0.99732	0.99727	0.998386	18867	0	-0.99051
OLFR313	2	0.0026844	0.0052698	0.73965	141	2	-1.6532	0.99732	0.99727	0.998386	18870	0	-1.6532
4930504O13RIK	2	0.0026844	0.0052698	0.73965	142	2	-1.6532	0.99732	0.99727	0.998386	18865	0	-1.6532
PELP1	2	0.0026844	0.0052698	0.73965	143	2	-2.2865	0.99732	0.99727	0.998386	18876	0	-2.2865
D19WSU162E	2	0.0026844	0.0052698	0.73965	144	2	-1.9943	0.99732	0.99727	0.998386	18864	0	-1.9943
TNNT1	2	0.0026844	0.0052698	0.73965	145	2	-1.9943	0.99732	0.99727	0.998386	18869	0	-1.9943
BANP	2	0.0026844	0.0052698	0.73965	146	2	-1.9943	0.99732	0.99727	0.998386	18872	0	-1.9943
ZC3H4	2	0.0026844	0.0052698	0.73965	147	2	-2.1551	0.99732	0.99727	0.998386	18877	0	-2.1551
RBM42	2	0.0026844	0.0052698	0.73965	148	2	-2.1551	0.99732	0.99727	0.998386	18878	0	-2.1551
CIDEB	2	0.0026844	0.0052698	0.73965	149	2	-1.1007	0.99732	0.99727	0.998386	18866	0	-1.1007
AU019823	2	0.0026844	0.0052698	0.73965	150	2	-1.9943	0.99732	0.99727	0.998386	18863	0	-1.9943
OLFR1218	2	0.0026844	0.0052698	0.73965	151	2	-0.99051	0.99732	0.99727	0.998386	18871	0	-0.99051
COPS8	2	0.0026844	0.0052698	0.73965	152	2	-1.4924	0.99732	0.99727	0.998386	18873	0	-1.4924
KIF18B	5	0.0028012	0.010059	0.818201	153	3	-1.5799	0.9375	0.93774	0.987989	17481	0	-1.5799
WDR3	1	0.0028368	0.0028014	0.73965	154	1	-2.8009	0.99716	0.9972	0.998386	18860	0	-2.8009
BHLHE23	1	0.0028368	0.0028014	0.73965	155	1	-2.8009	0.99716	0.9972	0.998386	18862	0	-2.8009
SSXB9	1	0.0028368	0.0028014	0.73965	156	1	-2.8009	0.99716	0.9972	0.998386	18861	0	-2.8009
CARM1	3	0.0030131	0.008414	0.73965	157	3	-0.5761	0.99699	0.99702	0.998386	18835	0	-0.5761
LASS6	3	0.0030131	0.008414	0.73965	158	3	-1.5799	0.99699	0.99702	0.998386	18855	0	-1.5799
2310003F16RIK	3	0.0030131	0.008414	0.73965	159	3	-1.9943	0.99699	0.99702	0.998386	18833	0	-1.9943
FBXO48	3	0.0030131	0.008414	0.73965	160	3	-1.3121	0.99699	0.99702	0.998386	18819	0	-1.3121
EFCAB4A	3	0.0030131	0.008414	0.73965	161	3	-0.99051	0.99699	0.99702	0.998386	18837	0	-0.99051
MPND	3	0.0030131	0.008414	0.73965	162	3	-1.5799	0.99699	0.99702	0.998386	18856	0	-1.5799
ADAMTS1	3	0.0030131	0.008414	0.73965	163	3	-1.5799	0.99699	0.99702	0.998386	18854	0	-1.5799
HMGA2	3	0.0030131	0.008414	0.73965	164	3	-0.99051	0.99699	0.99702	0.998386	18841	0	-0.99051
CELF1	3	0.0030131	0.008414	0.73965	165	3	-1.5799	0.99699	0.99702	0.998386	18826	0	-1.5799
NRGN	3	0.0030131	0.008414	0.73965	166	3	-1.5799	0.99699	0.99702	0.998386	18828	0	-1.5799
DHX35	3	0.0030131	0.008414	0.73965	167	3	-0.99051	0.99699	0.99702	0.998386	18853	0	-0.99051
ATRIP	3	0.0030131	0.008414	0.73965	168	3	-0.5761	0.99699	0.99702	0.998386	18824	0	-0.5761
ANKRD11	3	0.0030131	0.008414	0.73965	169	3	-1.5799	0.99699	0.99702	0.998386	18807	0	-1.5799
UBA2	3	0.0030131	0.008414	0.73965	170	3	-1.5799	0.99699	0.99702	0.998386	18840	0	-1.5799
PTBP2	3	0.0030131	0.008414	0.73965	171	3	-1.5799	0.99699	0.99702	0.998386	18844	0	-1.5799
SEP-01	3	0.0030131	0.008414	0.73965	172	3	-0.5761	0.99699	0.99702	0.998386	18812	0	-0.5761
PIP5K1C	3	0.0030131	0.008414	0.73965	173	3	-0.99051	0.99699	0.99702	0.998386	18847	0	-0.99051
CCDC93	3	0.0030131	0.008414	0.73965	174	3	-1.5799	0.99699	0.99702	0.998386	18810	0	-1.5799
UBE2Q2	3	0.0030131	0.008414	0.73965	175	3	-1.3121	0.99699	0.99702	0.998386	18815	0	-1.3121
VASH1	3	0.0030131	0.008414	0.73965	176	3	-1.5799	0.99699	0.99702	0.998386	18836	0	-1.5799
MOXD1	3	0.0030131	0.008414	0.73965	177	3	-0.5761	0.99699	0.99702	0.998386	18816	0	-0.5761
MSI1	3	0.0030131	0.008414	0.73965	178	3	-1.5799	0.99699	0.99702	0.998386	18808	0	-1.5799
FOXJ2	3	0.0030131	0.008414	0.73965	179	3	-0.5761	0.99699	0.99702	0.998386	18827	0	-0.5761
PRSS37	3	0.0030131	0.008414	0.73965	180	3	-1.3121	0.99699	0.99702	0.998386	18838	0	-1.3121
UGCG	3	0.0030131	0.008414	0.73965	181	3	-1.5799	0.99699	0.99702	0.998386	18817	0	-1.5799
WDR92	3	0.0030131	0.008414	0.73965	182	3	-1.5799	0.99699	0.99702	0.998386	18811	0	-1.5799
RPS5	3	0.0030131	0.008414	0.73965	183	3	-1.9943	0.99699	0.99702	0.998386	18823	0	-1.9943
TMEM219	3	0.0030131	0.008414	0.73965	184	3	-1.5799	0.99699	0.99702	0.998386	18831	0	-1.5799
SF3B4	3	0.0030131	0.008414	0.73965	185	3	-1.5799	0.99699	0.99702	0.998386	18814	0	-1.5799
RXFP1	3	0.0030131	0.008414	0.73965	186	3	-1.5799	0.99699	0.99702	0.998386	18832	0	-1.5799
SEPHS1	3	0.0030131	0.008414	0.73965	187	3	-1.5799	0.99699	0.99702	0.998386	18829	0	-1.5799
MED25	3	0.0030131	0.008414	0.73965	188	3	-0.5761	0.99699	0.99702	0.998386	18851	0	-0.5761
RANBP2	3	0.0030131	0.008414	0.73965	189	3	-1.5799	0.99699	0.99702	0.998386	18859	0	-1.5799
SCD1	3	0.0030131	0.008414	0.73965	190	3	-1.5799	0.99699	0.99702	0.998386	18820	0	-1.5799
TOP1	3	0.0030131	0.008414	0.73965	191	3	-1.5799	0.99699	0.99702	0.998386	18806	0	-1.5799
GOLGA3	3	0.0030131	0.008414	0.73965	192	3	-1.5799	0.99699	0.99702	0.998386	18845	0	-1.5799
ATP2B3	3	0.0030131	0.008414	0.73965	193	3	-0.99051	0.99699	0.99702	0.998386	18813	0	-0.99051
RPL8	3	0.0030131	0.008414	0.73965	194	3	-1.5799	0.99699	0.99702	0.998386	18818	0	-1.5799
MAP3K3	3	0.0030131	0.008414	0.73965	195	3	-0.99051	0.99699	0.99702	0.998386	18834	0	-0.99051
OLFR1047	3	0.0030131	0.008414	0.73965	196	3	-0.99051	0.99699	0.99702	0.998386	18805	0	-0.99051
TUBGCP5	3	0.0030131	0.008414	0.73965	197	3	-1.9943	0.99699	0.99702	0.998386	18830	0	-1.9943
PPP2R1A	3	0.0030131	0.008414	0.73965	198	3	-1.3121	0.99699	0.99702	0.998386	18809	0	-1.3121
RSBN1L	3	0.0030131	0.008414	0.73965	199	3	-0.5761	0.99699	0.99702	0.998386	18850	0	-0.5761
RQCD1	3	0.0030131	0.008414	0.73965	200	3	-1.5799	0.99699	0.99702	0.998386	18857	0	-1.5799
DCTPP1	3	0.0030131	0.008414	0.73965	201	3	-0.5761	0.99699	0.99702	0.998386	18846	0	-0.5761
CACNG8	3	0.0030131	0.008414	0.73965	202	3	-0.5761	0.99699	0.99702	0.998386	18842	0	-0.5761
GNAI1	3	0.0030131	0.008414	0.73965	203	3	-1.5799	0.99699	0.99702	0.998386	18849	0	-1.5799
MMACHC	3	0.0030131	0.008414	0.73965	204	3	-0.5761	0.99699	0.99702	0.998386	18858	0	-0.5761
QSOX1	3	0.0030131	0.008414	0.73965	205	3	-1.5799	0.99699	0.99702	0.998386	18822	0	-1.5799
TPD52L2	3	0.0030131	0.008414	0.73965	206	3	-0.5761	0.99699	0.99702	0.998386	18843	0	-0.5761
ALOXE3	3	0.0030131	0.008414	0.73965	207	3	-1.5799	0.99699	0.99702	0.998386	18848	0	-1.5799
RPS6KB1	3	0.0030131	0.008414	0.73965	208	3	-0.99051	0.99699	0.99702	0.998386	18825	0	-0.99051
IPO9	3	0.0030131	0.008414	0.73965	209	3	-0.99051	0.99699	0.99702	0.998386	18821	0	-0.99051
IL1R2	4	0.003215	0.01055	0.818201	210	2	-1.2881	0.98595	0.98593	0.995681	18577	0	-1.2881
DRG1	4	0.0032799	0.010713	0.818201	211	1	-0.99622	0.89118	0.89114	0.97199	16536	0	-0.99622
TIMELESS	4	0.0033447	0.010865	0.818201	212	2	-0.78616	0.89118	0.89114	0.97199	16566	0	-0.78616
INPPL1	5	0.0035173	0.012395	0.820214	213	2	-0.99622	0.9375	0.93774	0.987989	17512	0	-0.99622
FAR1	5	0.0035173	0.012395	0.820214	214	2	-0.99622	0.80991	0.81026	0.97199	13809	0	-0.99622
CES2E	5	0.0035173	0.012395	0.820214	215	3	-0.5761	0.29715	0.30793	0.964979	5230	1	-0.5761
HECTD1	5	0.0035173	0.012395	0.820214	216	2	-0.99622	0.78121	0.78154	0.97199	13783	0	-0.99622
FAM98A	5	0.0035173	0.012395	0.820214	217	3	-1.3121	0.59247	0.59282	0.970422	10602	0	-1.3121
AHCTF1	5	0.0035173	0.012395	0.820214	218	2	0.0075964	0.59247	0.59282	0.970422	10639	0	0.0075964
2900092C05RIK	5	0.0035173	0.012395	0.820214	219	2	-0.99622	0.59247	0.59282	0.970422	10538	0	-0.99622
NXPH1	5	0.0035173	0.012395	0.820214	220	3	-0.72583	0.29715	0.30793	0.964979	5317	1	-0.72583
C80913	5	0.0035173	0.012395	0.820214	221	3	-0.5761	0.73302	0.73316	0.97199	13331	0	-0.5761
SPATA3	5	0.0035173	0.012395	0.820214	222	2	0.0075964	0.59247	0.59282	0.970422	10628	0	0.0075964
ZCCHC17	5	0.0036643	0.012861	0.820214	223	3	-0.98709	0.053365	0.093958	0.883486	1638	1	-0.98709
OLFR535	3	0.003848	0.010647	0.818201	224	1	-0.99622	0.95918	0.95945	0.987989	18220	0	-0.99622
GPM6A	3	0.003848	0.010647	0.818201	225	1	0.59383	0.19068	0.19404	0.925858	3479	1	0.59383
4930404A10RIK	3	0.003848	0.010647	0.818201	226	1	-0.40428	0.81053	0.81045	0.97199	14284	0	-0.40428
CHCHD4	3	0.003848	0.010647	0.818201	227	1	0.011395	0.41642	0.41665	0.966282	7400	0	0.011395
BC027231	3	0.003848	0.010647	0.818201	228	2	-1.5799	0.81053	0.81045	0.97199	14092	0	-1.5799
